date,SQUAT,BENCH,DEADLIFT
03-18-2013,x,x,x
03-20-2013,x,100,x
03-22-2013,x,x,x
03-23-2013,x,x,x
03-24-2013,x,x,x
03-25-2013,x,x,x
03-26-2013,x,x,x
03-27-2013,x,x,x
03-28-2013,x,x,x
03-29-2013,x,x,x
03-30-2013,x,x,x
03-31-2013,x,x,x
04-01-2013,180,x,x
04-02-2013,180,x,x
04-04-2013,150,x,x
04-06-2013,x,x,x
04-08-2013,x,90,x
04-09-2013,130,90,x
04-10-2013,x,x,x
04-11-2013,x,x,x
04-13-2013,x,x,x
04-14-2013,x,x,x
04-15-2013,x,x,x
04-16-2013,x,x,x
04-17-2013,x,x,x
04-18-2013,x,x,x
04-20-2013,x,x,x
04-21-2013,100,x,x
04-22-2013,x,x,x
04-23-2013,x,x,x
04-24-2013,x,x,x
04-27-2013,130,x,x
04-28-2013,130,x,x
04-29-2013,x,140,x
04-30-2013,x,x,x
05-01-2013,x,x,200
05-02-2013,x,100,x
05-04-2013,x,x,x
05-06-2013,120,x,x
05-07-2013,x,x,x
05-08-2013,x,x,x
05-09-2013,x,x,x
05-11-2013,176,x,x
05-13-2013,x,x,x
05-14-2013,176,x,x
05-15-2013,x,x,x
05-16-2013,x,x,x
05-18-2013,x,x,x
05-19-2013,130,x,x
05-22-2013,x,x,170
05-24-2013,x,x,x
05-25-2013,x,x,x
05-27-2013,x,x,x
05-29-2013,x,x,x
05-30-2013,x,x,x
05-31-2013,x,x,x
06-03-2013,160,x,x
06-13-2013,100,100,x
06-14-2013,0,100,x
06-16-2013,160,160,x
06-17-2013,x,160,x
06-19-2013,x,x,x
06-20-2013,x,x,x
06-21-2013,x,110,x
06-22-2013,x,x,x
06-23-2013,x,x,x
06-26-2013,x,x,x
06-27-2013,x,x,x
07-01-2013,x,x,x
07-02-2013,x,x,x
07-03-2013,x,x,x
07-05-2013,x,x,x
07-06-2013,x,x,x
07-08-2013,x,100,x
07-11-2013,x,x,x
07-12-2013,x,x,x
07-13-2013,x,x,x
07-14-2013,x,x,x
